drug,trial,condition,sponsor,sponsor_class
Semaglutide Injectable Product,NCT04174755,HIV-1-infection,University College Dublin,OTHER
Semaglutide 2 MG/1.5 ML Subcutaneous Solution,NCT03985384,Type 2 Diabetes,Lundquist Institute for Biomedical Innovation at Harbor-UCLA Medical Center,OTHER
Semaglutide 2 MG/1.5 ML Subcutaneous Solution,NCT03985384,Coronary Artery Disease,Lundquist Institute for Biomedical Innovation at Harbor-UCLA Medical Center,OTHER
semaglutide,NCT06959784,Cardiovascular Diseases,China-Japan Friendship Hospital,OTHER
semaglutide,NCT06959784,Diabetes Mellitus,China-Japan Friendship Hospital,OTHER
semaglutide,NCT06959784,Cerebrovascular Disease,China-Japan Friendship Hospital,OTHER
Metformin with Semaglutide,NCT06896981,Obesity,"Bangabandhu Sheikh Mujib Medical University, Dhaka, Bangladesh",OTHER
Metformin with Semaglutide,NCT06896981,Polycystic Ovary Syndrome (PCOS) Women,"Bangabandhu Sheikh Mujib Medical University, Dhaka, Bangladesh",OTHER
"Semaglutide 2.4 mg, total diet replacement, behavioural intervention",NCT06234111,Obesity,Hvidovre University Hospital,OTHER
"Semaglutide 2.4 mg, total diet replacement, behavioural intervention",NCT06234111,Multimorbidity,Hvidovre University Hospital,OTHER
"Semaglutide 2.4 mg, total diet replacement, behavioural intervention",NCT06234111,Obesity Morbid,Hvidovre University Hospital,OTHER
"Duragtide, Semaglutide, losenatide, tirzepatide, ebenatide, etc",NCT05990374,Diabetes,"Nanjing First Hospital, Nanjing Medical University",OTHER
Empagliflozin 10mg oral tablet / Semaglutide 1mg pen injector,NCT04639414,Type 2 Diabetes,German Diabetes Center,OTHER
Empagliflozin 10mg oral tablet / Semaglutide 1mg pen injector,NCT04639414,Non-alcoholic Steatohepatitis (NASH),German Diabetes Center,OTHER
Empagliflozin 10mg oral tablet / Semaglutide 1mg pen injector,NCT04639414,Non-alcoholic Fatty Liver Disease (NAFLD),German Diabetes Center,OTHER
Empagliflozin 10mg oral tablet and placebo pen injector matching semaglutide,NCT04639414,Type 2 Diabetes,German Diabetes Center,OTHER
Empagliflozin 10mg oral tablet and placebo pen injector matching semaglutide,NCT04639414,Non-alcoholic Steatohepatitis (NASH),German Diabetes Center,OTHER
Empagliflozin 10mg oral tablet and placebo pen injector matching semaglutide,NCT04639414,Non-alcoholic Fatty Liver Disease (NAFLD),German Diabetes Center,OTHER
Placebo matching empagliflozin and placebo pen injector matching semaglutide,NCT04639414,Type 2 Diabetes,German Diabetes Center,OTHER
Placebo matching empagliflozin and placebo pen injector matching semaglutide,NCT04639414,Non-alcoholic Steatohepatitis (NASH),German Diabetes Center,OTHER
Placebo matching empagliflozin and placebo pen injector matching semaglutide,NCT04639414,Non-alcoholic Fatty Liver Disease (NAFLD),German Diabetes Center,OTHER
Semaglutide Pen Injector [Ozempic],NCT05857085,"Diabetes Mellitus, Type 1",General and Teaching Hospital Celje,OTHER
Semaglutide Pen Injector [Ozempic],NCT05857085,Endothelial Dysfunction,General and Teaching Hospital Celje,OTHER
Semaglutide Pen Injector [Ozempic],NCT05857085,Arterial Stiffness,General and Teaching Hospital Celje,OTHER
Semaglutide Pen Injector [Ozempic],NCT05857085,Biomarkers,General and Teaching Hospital Celje,OTHER
Semaglutide Pen Injector [Ozempic],NCT05857085,FMD,General and Teaching Hospital Celje,OTHER
Semaglutide Pen Injector [Ozempic],NCT05857085,Incretins,General and Teaching Hospital Celje,OTHER
Semaglutide Pen Injector [Ozempic],NCT05857085,Endothelial Progenitor Cells,General and Teaching Hospital Celje,OTHER
Semaglutide Pen Injector [Ozempic],NCT05857085,SGLT 2 Inhibitors,General and Teaching Hospital Celje,OTHER
Semaglutide Pen Injector [Ozempic],NCT05857085,Glucose Excursions,General and Teaching Hospital Celje,OTHER
Semaglutide Pen Injector [Ozempic],NCT05857085,FPF,General and Teaching Hospital Celje,OTHER
Semaglutide Injectable Product,NCT05646199,Polycystic Ovary Syndrome,University of Hull,OTHER
Liraglutide / Semaglutide,NCT05390307,Type 1 Diabetes,Dasman Diabetes Institute,OTHER
Liraglutide or Semaglutide / Dapagliflozin,NCT05390307,Type 1 Diabetes,Dasman Diabetes Institute,OTHER
Liraglutide or Semaglutide / Dapagliflozin plus intensive weight loss nutrition,NCT05390307,Type 1 Diabetes,Dasman Diabetes Institute,OTHER
"Semaglutide 2 mg/1.5 ml (1.34 mg/ml), prefilled pen-injector for subcutaneous injection solution",NCT04741074,Obesity,Geisinger Clinic,OTHER
"Semaglutide 2 mg/1.5 ml (1.34 mg/ml), prefilled pen-injector for subcutaneous injection solution",NCT04741074,Diabetic Kidney Disease,Geisinger Clinic,OTHER
"Semaglutide 2 mg/1.5 ml (1.34 mg/ml), prefilled pen-injector for subcutaneous injection solution",NCT04741074,CKD,Geisinger Clinic,OTHER
"Semaglutide 2 mg/1.5 ml (1.34 mg/ml), prefilled pen-injector for subcutaneous injection solution",NCT04741074,Severe Obesity,Geisinger Clinic,OTHER
"Semaglutide 2 mg/1.5 ml (1.34 mg/ml), prefilled pen-injector for subcutaneous injection solution",NCT04741074,Type 2 Diabetes Mellitus in Obese,Geisinger Clinic,OTHER
Semaglutide (1 Mg Dose),NCT04624672,"Diabetes Mellitus, Type 2",Geisinger Clinic,OTHER
Semaglutide,NCT05950516,Type 2 Diabetes,"Qilu Pharmaceutical Co., Ltd.",INDUSTRY
Semaglutide Pen Injector [Ozempic],NCT05950516,Type 2 Diabetes,"Qilu Pharmaceutical Co., Ltd.",INDUSTRY
Semaglutide 3 mg/ml,NCT05574439,"Obesity, Adolescent",Signe Torekov,OTHER
Placebo (Semaglutide 3 mg/ml),NCT05574439,"Obesity, Adolescent",Signe Torekov,OTHER
Semaglutide,NCT06354101,Metabolic Health,CorEvitas,NETWORK
Semaglutide Pill,NCT06060392,Diabete Mellitus,"Medanta, The Medicity, India",OTHER
Semaglutide Pill,NCT06060392,Liver Transplant; Complications,"Medanta, The Medicity, India",OTHER
semaglutide,NCT06629688,Diabetes Mellitus Type 2,University Hospital Dubrava,OTHER
semaglutide,NCT06629688,Iron Absorption,University Hospital Dubrava,OTHER
ASC47 +Semaglutide,NCT06972992,Chronic Weight Management,"Ascletis Pharma (China) Co., Limited",INDUSTRY
Placebo+Semaglutide,NCT06972992,Chronic Weight Management,"Ascletis Pharma (China) Co., Limited",INDUSTRY
"Semaglutide, 1.0 mg/mL",NCT06301191,Diabetes Type 2,Attikon Hospital,OTHER
Semaglutide Pill,NCT05340868,Obesity,Medical University of Bialystok,OTHER
Semaglutide Pill,NCT05340868,PreDiabetes,Medical University of Bialystok,OTHER
Semaglutide Pill,NCT05340868,Prediabetic State,Medical University of Bialystok,OTHER
semaglutide,NCT06989203,Obesity,Chinese Academy of Sciences,OTHER_GOV
semaglutide,NCT06989203,Weight Loss,Chinese Academy of Sciences,OTHER_GOV
semaglutide,NCT06989203,Protein Supplementation,Chinese Academy of Sciences,OTHER_GOV
semaglutide,NCT06989177,Obesity,Chinese Academy of Sciences,OTHER_GOV
semaglutide,NCT06989177,Weight Loss,Chinese Academy of Sciences,OTHER_GOV
semaglutide,NCT06989177,Homeostasis,Chinese Academy of Sciences,OTHER_GOV
semaglutide,NCT06989177,Probiotic Intervention,Chinese Academy of Sciences,OTHER_GOV
Semaglutide,NCT06762314,Diabetes,Mostafa Bahaa,OTHER
oral semaglutide,NCT05442450,Obesity,"Asian Institute of Gastroenterology, India",OTHER
oral semaglutide,NCT05442450,Weight Loss,"Asian Institute of Gastroenterology, India",OTHER
Semaglutide,NCT05071417,"Atheroscleroses, Coronary",Fundación Instituto de Estudios de Ciencias de la Salud de Castilla y León,OTHER
semaglutide,NCT06764056,Obesity,"Institut universitaire de cardiologie et de pneumologie de Québec, University Laval",OTHER
semaglutide,NCT06764056,Metabolic Associated Fatty Liver Disease,"Institut universitaire de cardiologie et de pneumologie de Québec, University Laval",OTHER
semaglutide,NCT06764056,Metabolic Associated-dysfunction Steatohepatitis (MASH),"Institut universitaire de cardiologie et de pneumologie de Québec, University Laval",OTHER
Semaglutide 1.34 MG/ML [Ozempic],NCT05078255,Type 2 Diabetes,"Asger Lund, MD",OTHER
Semaglutide 1.34 MG/ML [Ozempic],NCT05078255,Obesity,"Asger Lund, MD",OTHER
Semaglutide 1.34 mg/ml placebo,NCT05078255,Type 2 Diabetes,"Asger Lund, MD",OTHER
Semaglutide 1.34 mg/ml placebo,NCT05078255,Obesity,"Asger Lund, MD",OTHER
"ACEi / ARB, SGLT2i, finerenone, semaglutide, pentoxifylline, hydrochlorthiazide, baricitinib",NCT05897372,Diabetic Kidney Disease,Iain Bressendorff,OTHER
Semaglutide 1MG Injection [Ozempic],NCT03292315,Obesity,James J. Peters Veterans Affairs Medical Center,FED
Semaglutide 1MG Injection [Ozempic],NCT03292315,Spinal Cord Injuries,James J. Peters Veterans Affairs Medical Center,FED
Semaglutide 1MG Injection [Ozempic],NCT03292315,Insulin Resistance,James J. Peters Veterans Affairs Medical Center,FED
Semaglutide 1MG Injection [Ozempic],NCT03292315,Pre Diabetes,James J. Peters Veterans Affairs Medical Center,FED
VTX3232 Dose A in combination with semaglutide,NCT06771115,Obesity,Zomagen Biosciences Ltd.,INDUSTRY
Placebo in combination with semaglutide,NCT06771115,Obesity,Zomagen Biosciences Ltd.,INDUSTRY
Semaglutide Injectable Product,NCT05895643,Alcohol Dependence,Psychiatric Centre Rigshospitalet,OTHER
Semaglutide Injectable Product,NCT05895643,Alcohol Use Disorder,Psychiatric Centre Rigshospitalet,OTHER
Semaglutide Injectable Product,NCT05895643,Alcohol Abuse,Psychiatric Centre Rigshospitalet,OTHER
Semaglutide Injectable Product,NCT05895643,Alcohol Addiction,Psychiatric Centre Rigshospitalet,OTHER
Semaglutide Pen Injector [Ozempic],NCT04873050,Pre Diabetes,Woman's,OTHER
Semaglutide Pen Injector [Ozempic],NCT04873050,Postpartum Disorder,Woman's,OTHER
Placebo semaglutide pen injector,NCT04873050,Pre Diabetes,Woman's,OTHER
Placebo semaglutide pen injector,NCT04873050,Postpartum Disorder,Woman's,OTHER
Semaglutide,NCT07139548,T2DM,"Guangdong Raynovent Biotech Co., Ltd",INDUSTRY
semaglutide,NCT06604624,Weight Management,"CSPC Baike (Shandong) Biopharmaceutical Co., Ltd.",INDUSTRY
Semaglutide,NCT05209165,Obesity,San Francisco Veterans Affairs Medical Center,FED
Semaglutide,NCT05209165,Atrial Fibrillation,San Francisco Veterans Affairs Medical Center,FED
Semaglutide,NCT05209165,Overweight,San Francisco Veterans Affairs Medical Center,FED
semaglutide injection,NCT05816057,"Diabetes Mellitus, Type 2","Hangzhou Jiuyuan Gene Engineering Co. Ltd.,",INDUSTRY
Semaglutide,NCT06633783,Obesity,"Hangzhou Jiuyuan Gene Engineering Co. Ltd.,",INDUSTRY
semaglutide injection,NCT06577090,Obesity,"Skye Bioscience, Inc.",INDUSTRY
Semaglutide,NCT05173714,Obesity,Srinvasan Beddhu,OTHER
Semaglutide,NCT05173714,Chronic Kidney Diseases,Srinvasan Beddhu,OTHER
Semaglutide,NCT06803888,Obesity and Obesity-related Medical Conditions,Ali Aminian,OTHER
Semaglutide Pill,NCT04938388,"Diabetes Mellitus, Type 2",Sansum Diabetes Research Institute,OTHER
Semaglutide Pill,NCT04938388,Glucose Metabolism Disorders (Including Diabetes Mellitus),Sansum Diabetes Research Institute,OTHER
semaglutide,NCT04615871,Covid19,Vladimír Džavík,OTHER
semaglutide,NCT04615871,Myocardial Injury,Vladimír Džavík,OTHER
Semaglutide,NCT06390501,Obesity; Drug,"Shenzhen Institutes of Advanced Technology ,Chinese Academy of Sciences",OTHER
Semaglutide,NCT07101939,Obesity,Actimed Therapeutics Ltd,INDUSTRY
Semaglutide,NCT07101939,Muscle Loss,Actimed Therapeutics Ltd,INDUSTRY
Semaglutide (Rybelsus®),NCT06827002,Obesity and Overweight,University of Yaounde 1,OTHER
Semaglutide (Rybelsus®),NCT06827002,Appetite Regulation,University of Yaounde 1,OTHER
"Semaglutide, 1.0 mg/mL",NCT05670379,Overweight and Obesity,"Vivani Medical, Inc",INDUSTRY
"Semaglutide, 1.0 mg/mL",NCT05670379,Type2diabetes,"Vivani Medical, Inc",INDUSTRY
Semaglutide,NCT06256549,Type 2 Diabetes,"Gan and Lee Pharmaceuticals, USA",INDUSTRY
Semaglutide,NCT04175665,Type 2 Diabetes,LMC Diabetes & Endocrinology Ltd.,OTHER
"Semaglutide, 1.34 mg/mL",NCT04892199,Type 2 Diabetes,"Anders Fink-Jensen, MD, DMSci",OTHER
"Semaglutide, 1.34 mg/mL",NCT04892199,Schizophrenia,"Anders Fink-Jensen, MD, DMSci",OTHER
"Semaglutide, 1.34 mg/mL",NCT04892199,Metabolic Disturbance,"Anders Fink-Jensen, MD, DMSci",OTHER
"Semaglutide, 1.34 mg/mL",NCT04892199,GLP-1,"Anders Fink-Jensen, MD, DMSci",OTHER
"Semaglutide, 1.34 mg/mL",NCT04892199,Olanzapine,"Anders Fink-Jensen, MD, DMSci",OTHER
"Semaglutide, 1.34 mg/mL",NCT04892199,Clozapine,"Anders Fink-Jensen, MD, DMSci",OTHER
Semaglutide-placebo,NCT04892199,Type 2 Diabetes,"Anders Fink-Jensen, MD, DMSci",OTHER
Semaglutide-placebo,NCT04892199,Schizophrenia,"Anders Fink-Jensen, MD, DMSci",OTHER
Semaglutide-placebo,NCT04892199,Metabolic Disturbance,"Anders Fink-Jensen, MD, DMSci",OTHER
Semaglutide-placebo,NCT04892199,GLP-1,"Anders Fink-Jensen, MD, DMSci",OTHER
Semaglutide-placebo,NCT04892199,Olanzapine,"Anders Fink-Jensen, MD, DMSci",OTHER
Semaglutide-placebo,NCT04892199,Clozapine,"Anders Fink-Jensen, MD, DMSci",OTHER
"Semaglutide, Empagliflozin",NCT06410352,Metabolic Syndrome,"University Medical Center, Kazakhstan",OTHER
semaglutide injection,NCT07073417,Obesity,"Hangzhou Sciwind Biosciences Co., Ltd.",INDUSTRY
semaglutide injection,NCT07073417,Weight Management,"Hangzhou Sciwind Biosciences Co., Ltd.",INDUSTRY
Semaglutide Injectable Product,NCT04885634,Overweight and Obesity,Axel Brandes,OTHER
Semaglutide Injectable Product,NCT04885634,Atrial Fibrillation,Axel Brandes,OTHER
Semaglutide,NCT06027567,Obesity,Rigmor Højland Jensen,OTHER
Semaglutide,NCT06027567,Weight Loss,Rigmor Højland Jensen,OTHER
Semaglutide,NCT06027567,Idiopathic Intracranial Hypertension,Rigmor Højland Jensen,OTHER
Semaglutide,NCT06027567,Intracranial Pressure,Rigmor Højland Jensen,OTHER
Semaglutide,NCT06027567,Papilledema,Rigmor Højland Jensen,OTHER
Semaglutide,NCT06027567,Pseudotumor Cerebri Syndrome,Rigmor Højland Jensen,OTHER
Semaglutide 0.5 mg,NCT06788626,Acute Ischemic Stroke,Wei Hu,OTHER
