trial,enrollment,phase
NCT04939818,172.0,
NCT03221894,120.0,
NCT06741553,120.0,
NCT05077501,24.0,PHASE1
NCT05143255,90.0,
NCT02817074,604.0,
NCT05647473,66.0,PHASE2
NCT03638583,200000.0,
NCT04132193,50.0,
NCT05004558,36.0,
NCT00040378,4246.0,
NCT06412185,56.0,PHASE1
NCT00667810,901.0,PHASE3
NCT02414282,20.0,
NCT03998423,5.0,PHASE1
NCT07025070,60.0,
NCT00488007,51.0,
NCT06194552,32.0,PHASE1
NCT01978548,45.0,PHASE1
NCT00726726,22.0,PHASE1
NCT06210035,94.0,
NCT01297140,252.0,
NCT04439097,84.0,
NCT05597410,3418.0,
NCT01057030,22.0,PHASE1
NCT04080544,125.0,PHASE2
NCT01565434,200.0,
NCT05911178,90.0,
NCT02271685,600.0,
NCT03799991,100.0,
NCT05205980,30.0,
NCT06501495,90.0,
NCT04517877,164.0,PHASE2
NCT01564706,9.0,PHASE1
NCT04928690,140.0,
NCT02440646,1080.0,
NCT05063851,32.0,PHASE2
NCT06911944,60.0,PHASE4
NCT03046121,461.0,
NCT05318976,208.0,PHASE2
NCT06889818,4000.0,
NCT01639586,360.0,
NCT03784183,126.0,
NCT00042172,40.0,PHASE4
NCT01692977,77.0,
NCT00053599,400.0,PHASE3
NCT06442852,500.0,
NCT06481878,115.0,
NCT05635266,20000.0,
NCT04771845,73.0,
NCT03256539,15.0,
NCT05043675,6.0,EARLY_PHASE1
NCT05544201,99.0,
NCT02955706,265.0,PHASE4
NCT04129060,120.0,EARLY_PHASE1
NCT03224988,30.0,
NCT00467766,300.0,
NCT03816228,0.0,
NCT04760171,10.0,
NCT05891444,40.0,
NCT03661034,20.0,
NCT03748706,13.0,PHASE2
NCT04951284,42.0,
NCT05985486,81.0,
NCT05173922,500.0,
NCT04842734,60.0,
NCT04820335,65.0,
NCT00657813,3.0,PHASE1
NCT05950607,750.0,PHASE4
NCT05178992,200.0,PHASE1;PHASE2
NCT00831298,70.0,
NCT02997982,33.0,PHASE2
NCT03112096,12.0,PHASE1
NCT06824142,20.0,
NCT06585787,406.0,PHASE3
NCT02648906,128.0,PHASE4
NCT01001637,26.0,
NCT04044495,47.0,
NCT05754021,100.0,
NCT03628404,1000.0,
NCT06496347,192.0,
NCT04103580,457.0,
NCT03577262,19.0,EARLY_PHASE1
NCT00838942,80.0,
NCT04692441,90.0,
NCT05787041,16.0,PHASE1
NCT00630851,249.0,PHASE3
NCT04678453,10.0,PHASE1
NCT03467477,161.0,PHASE2
NCT03757325,16.0,PHASE1
NCT03073876,25.0,PHASE4
NCT05422339,32.0,
NCT05405075,550.0,
NCT00998764,494.0,PHASE3
NCT02323217,20.0,EARLY_PHASE1
NCT06978946,85.0,
NCT03454646,1205.0,PHASE4
NCT01436188,5.0,EARLY_PHASE1
NCT06335173,540.0,PHASE2
NCT07022431,34.0,
NCT02518412,30.0,
NCT04064021,0.0,
NCT06711952,300.0,
NCT00216593,415.0,PHASE3
NCT04270604,1279.0,
NCT05615233,60.0,
NCT01550549,151.0,
NCT04121858,706.0,
NCT05762926,50.0,
NCT03435861,34.0,PHASE2
NCT04335994,200.0,
NCT01638884,118.0,
NCT05077579,240.0,
NCT06403345,40.0,
NCT03676881,36.0,
NCT05732519,180.0,
NCT04562506,30.0,
NCT02444078,140.0,
NCT06496425,80.0,
NCT06524817,0.0,
NCT04381468,50.0,PHASE1;PHASE2
NCT04510168,238.0,
NCT05984524,60.0,
NCT05206305,20.0,
NCT03899298,5000.0,PHASE1
NCT05617508,80.0,PHASE2
NCT05635968,71.0,PHASE2
NCT04726527,48.0,
NCT01453569,255.0,PHASE2
NCT05336695,30.0,PHASE1;PHASE2
NCT00034567,650.0,
NCT04082611,97.0,
NCT02874820,2.0,EARLY_PHASE1
NCT00034762,473.0,PHASE3
NCT04104373,522.0,
NCT02221622,24.0,PHASE1
NCT02343757,4.0,
NCT03466736,165.0,
NCT05189132,134.0,
NCT00088387,35.0,PHASE2
NCT05077618,94.0,
NCT03277573,40.0,PHASE1
NCT05147428,14442.0,
NCT03397667,236.0,
NCT00486044,103.0,PHASE2
NCT05326009,60.0,
NCT01807026,36.0,PHASE1
NCT00470418,15.0,PHASE2
NCT00153010,430.0,PHASE2
NCT06817902,6.0,
NCT07163377,50.0,
NCT07062198,845.0,PHASE3
NCT06120049,113.0,PHASE2;PHASE3
NCT05077826,98.0,
NCT06151808,42.0,
NCT05344989,40.0,PHASE1
NCT03119961,10.0,PHASE1;PHASE2
NCT04606251,34.0,
NCT06367231,6.0,
NCT00814502,20.0,
NCT04404153,100.0,
NCT06618872,120.0,
NCT06940687,60.0,
NCT04971733,8.0,PHASE1;PHASE2
NCT06608589,700.0,
NCT06826261,30.0,
NCT06774261,16.0,PHASE1
NCT05076331,3000.0,
NCT02626377,186.0,
NCT03630419,5.0,PHASE1;PHASE2
NCT05984732,206.0,
NCT00752232,40.0,PHASE2
NCT06840587,360.0,
NCT03880240,55.0,PHASE1;PHASE2
NCT07041450,500.0,
NCT03667924,44.0,
NCT03121066,45.0,
NCT05997030,15.0,
NCT03851523,400.0,
NCT02432222,23.0,
NCT02249351,54.0,PHASE2
NCT00065767,20.0,PHASE2;PHASE3
NCT05163067,200.0,
NCT04621448,224.0,
NCT05924425,62.0,PHASE4
NCT02392468,61.0,PHASE1
NCT03638323,46.0,
NCT03418688,33.0,PHASE1
NCT04587583,19.0,PHASE1;PHASE2
NCT03809351,160.0,PHASE1
NCT05462977,18.0,
NCT04308512,100.0,PHASE1;PHASE2
NCT03761381,20.0,
NCT06335836,209.0,
NCT04570215,48.0,
NCT04592874,381.0,PHASE2
NCT00297362,344.0,
NCT03173846,90.0,
NCT00056329,350.0,PHASE3
NCT01815112,60.0,
NCT00006399,45.0,PHASE2
NCT06582199,244.0,
NCT03645993,2.0,
NCT06223438,614.0,
NCT05550727,342.0,
NCT05516342,182.0,
NCT02987842,30.0,
NCT02686554,200.0,
NCT05507905,160.0,
NCT02681822,10000.0,
NCT03994237,45.0,
NCT06199193,120.0,
NCT04928976,67.0,
NCT04732182,14.0,
NCT04271046,67.0,
NCT00366483,40.0,PHASE1
NCT01409694,90.0,PHASE3
NCT05384353,150.0,
NCT05231798,20.0,PHASE2
NCT04745104,50.0,PHASE1
NCT05058040,2500.0,PHASE4
NCT05239390,20.0,PHASE2
NCT05010603,10000.0,
NCT05002699,120.0,
NCT06677632,14.0,
NCT01680588,70.0,PHASE2
NCT05372172,1000.0,
NCT05655195,50.0,
NCT01181921,1.0,PHASE4
NCT03672448,10000.0,
NCT05295615,40.0,
NCT04672135,77.0,PHASE1
NCT05768425,55.0,
NCT05733520,160.0,
NCT04471779,374.0,
NCT05245903,40.0,
NCT03442322,53.0,
NCT02248116,198.0,PHASE2;PHASE3
NCT03720548,36.0,PHASE1
NCT04482413,100.0,PHASE2
NCT03556280,60.0,
NCT05905822,64.0,
NCT00294307,814.0,
NCT00464334,86.0,PHASE1
NCT04780399,216.0,PHASE2
NCT05529706,86.0,
NCT03823404,643.0,PHASE2;PHASE3
NCT02213458,1560.0,
NCT04633408,21.0,
NCT06535308,92.0,PHASE1
NCT05225389,8.0,PHASE1
NCT04948450,60.0,
NCT03939286,50.0,
NCT01055392,80.0,PHASE2
NCT05530590,760.0,
NCT06880510,150.0,
NCT06023446,100.0,
NCT06371053,200.0,
NCT03038334,100.0,
NCT04517552,60.0,
NCT03149380,0.0,
NCT01608061,42.0,
NCT06719453,9663.0,
NCT06245499,860.0,
