trial,enrollment,phase
NCT00609154,20.0,PHASE1;PHASE2
NCT01426737,50.0,PHASE4
NCT01954472,0.0,
NCT00364312,390.0,
NCT02343107,120.0,
NCT06715514,96.0,
NCT01377558,100.0,
NCT07002125,20.0,
NCT00157482,108.0,PHASE2
NCT02020629,18.0,PHASE4
NCT02895867,112.0,
NCT07032311,200.0,
NCT01471509,300.0,
NCT04821921,1503.0,
NCT02338921,78.0,PHASE4
NCT00305604,206.0,PHASE3
NCT06658743,74.0,
NCT06111508,30.0,
NCT02726256,500.0,
NCT04838392,150.0,
NCT06329544,30.0,
NCT01869621,34.0,PHASE1
NCT00658021,122.0,PHASE3
NCT01186952,90.0,
NCT00551538,15.0,PHASE4
NCT02472717,0.0,PHASE2
NCT01802541,127.0,
NCT06692153,0.0,
NCT01053234,78.0,
NCT00453934,11.0,PHASE4
NCT01971047,0.0,PHASE4
NCT02218138,35.0,
NCT06445335,385.0,
NCT01238289,207.0,
NCT06794918,80.0,
NCT02750410,159.0,PHASE4
NCT05226182,45.0,
NCT01867970,240.0,
NCT07169422,120.0,
NCT02854202,60.0,
NCT00950898,11.0,
NCT07091487,256.0,
NCT00339833,54.0,PHASE4
NCT06772168,240.0,PHASE3
NCT04841096,162.0,PHASE3
NCT05431296,160.0,
NCT00928005,77.0,PHASE4
NCT06627322,5950.0,
NCT06003153,125.0,PHASE4
NCT04163757,50.0,
NCT01579981,9.0,
NCT04315519,28.0,
NCT05781334,202.0,
NCT06313164,217.0,
NCT05691985,50.0,
NCT04822740,2.0,
NCT03223389,20.0,
NCT06980623,26000.0,
NCT00194259,320.0,
NCT00788827,7.0,PHASE1
NCT00541983,36.0,PHASE1
NCT05168605,100.0,
NCT04924400,38.0,
NCT05765214,120.0,
NCT02821104,77.0,
NCT05902156,72.0,
NCT02195856,31.0,
NCT05754775,27.0,
NCT06925217,76.0,
NCT04876274,181.0,
NCT00542113,1703.0,
NCT05700513,60.0,PHASE1;PHASE2
NCT06418880,120.0,PHASE3
NCT04568486,90.0,
NCT00303394,72.0,PHASE2
NCT01128153,257.0,PHASE3
NCT06572345,73.0,
NCT05935514,152.0,
NCT02908152,50.0,PHASE2;PHASE3
NCT07146347,14.0,PHASE1
NCT00682149,120.0,
NCT02126358,290.0,PHASE3
NCT02588859,1200.0,
NCT02535169,78.0,
NCT00659711,22.0,
NCT01758471,160.0,PHASE4
NCT06067399,250.0,
NCT00953498,40.0,PHASE4
NCT00699426,41.0,PHASE3
NCT02467478,31.0,PHASE4
NCT04496817,60.0,
NCT01945840,190.0,
NCT06959797,80.0,
NCT02861261,400.0,PHASE3
NCT01135394,114.0,
NCT02386930,35.0,
NCT02860611,180.0,
NCT05842993,96.0,
NCT01527747,15.0,PHASE4
NCT01415726,25.0,PHASE1;PHASE2
NCT00806520,16.0,
NCT00263965,105.0,PHASE2
NCT00585897,5.0,
NCT00994513,70.0,PHASE2;PHASE3
NCT06269120,470.0,
NCT06630182,308.0,
NCT01955031,282.0,
NCT01038895,120.0,PHASE4
NCT02194595,105.0,PHASE3
NCT01951339,36.0,
NCT06236581,25.0,
NCT06572306,20.0,
NCT00945204,1997.0,
NCT01907958,280.0,
NCT02079376,45.0,
NCT07147010,15.0,
NCT00808860,25.0,PHASE1;PHASE2
NCT02960659,24.0,PHASE1;PHASE2
NCT05098470,100.0,PHASE3
NCT05472883,50.0,
NCT05530356,100.0,
NCT04442451,80.0,
NCT06407245,80.0,
NCT00683657,93.0,PHASE3
NCT00147719,300.0,PHASE3
NCT02039934,60.0,
NCT02316821,216.0,PHASE2
NCT06706284,50.0,PHASE4
NCT00683878,972.0,PHASE3
NCT04194450,19.0,
NCT05986097,120.0,PHASE1;PHASE2
NCT02889510,76.0,PHASE3
NCT02180620,13.0,
NCT04892680,27.0,
NCT06616779,40.0,
NCT00612794,30.0,PHASE1
NCT00728143,19.0,
NCT04109235,20.0,
NCT01699074,30.0,PHASE1
