drug,trial,condition,sponsor,sponsor_class
donepezil,NCT02055703,Healthy Subjects,Eisai Inc.,INDUSTRY
Donepezil HCl,NCT00571064,Mild to Severe Alzheimer's Disease,Eisai Inc.,INDUSTRY
Donepezil Hydrochloride,NCT00293176,Memory Loss,Eisai Inc.,INDUSTRY
Donepezil Hydrochloride,NCT00165737,"Dementia, Vascular",Eisai Inc.,INDUSTRY
Donepezil hydrochloride (Aricept),NCT00675025,Down Syndrome,Eisai Inc.,INDUSTRY
Aricept (Donepezil hydrochloride),NCT00754013,Cognitive Dysfunction,Eisai Inc.,INDUSTRY
Aricept (Donepezil hydrochloride),NCT00754013,Down Syndrome,Eisai Inc.,INDUSTRY
Aricept (donepezil hydrochloride),NCT01146509,Migraine Headache,Eisai Inc.,INDUSTRY
Donepezil hydrochloride,NCT00477659,Alzheimer's Disease,Eisai Inc.,INDUSTRY
donepezil hydrochloride (Aricept),NCT00165763,Vascular Dementia,Eisai Inc.,INDUSTRY
Donepezil Hydrochloride (Aricept),NCT00711204,Severe Alzheimer's Disease,Eisai Inc.,INDUSTRY
Donepezil HCl,NCT00570128,Down Syndrome,Eisai Inc.,INDUSTRY
Prior Donepezil 5mg,NCT01327859,Dementia,Eisai Inc.,INDUSTRY
Prior Donepezil 5mg,NCT01327859,Parkinson's Disease,Eisai Inc.,INDUSTRY
Aricept (donepezil SR 23 mg),NCT00478205,Alzheimer's Disease,Eisai Inc.,INDUSTRY
Aricept (donepezil IR 10 mg),NCT00478205,Alzheimer's Disease,Eisai Inc.,INDUSTRY
Donepezil hydrochloride,NCT00688376,Attention Impairment,Eisai Inc.,INDUSTRY
Donepezil,NCT00006399,Alzheimer Disease,National Center for Research Resources (NCRR),NIH
Donepezil,NCT00220896,Cognitively Normal Elderly Individuals,Technical University of Munich,OTHER
Donepezil,NCT04134416,Aphasia,University of Malaga,OTHER
Donepezil,NCT04134416,Stroke,University of Malaga,OTHER
Donepezil Hydrochloride,NCT06828289,Alzheimer&#39;s Disease,Peking University First Hospital,OTHER
Donepezil administration,NCT01738295,Healthy,Université de Montréal,OTHER
Donepezil,NCT04117178,Alzheimer Disease,Zealand University Hospital,OTHER
Donepezil,NCT04117178,Dementia,Zealand University Hospital,OTHER
Donepezil,NCT04117178,Dementia With Lewy Bodies,Zealand University Hospital,OTHER
Donepezil,NCT04117178,Dementia Alzheimers,Zealand University Hospital,OTHER
Donepezil,NCT04117178,Dementia in Parkinsons Disease,Zealand University Hospital,OTHER
Donepezil (Aricept®),NCT06774261,Alzheimer Disease,Helse Stavanger HF,OTHER_GOV
Donepezil (Aricept®),NCT06774261,Mild Cognitive Impairment,Helse Stavanger HF,OTHER_GOV
Donepezil,NCT03810794,Alzheimer Disease,Shanghai University of Traditional Chinese Medicine,OTHER
Donepezil,NCT03810794,Cognitive Impairment,Shanghai University of Traditional Chinese Medicine,OTHER
"Donepezil, ODT 10 mg",NCT01297036,Alzheimer Disease,Korea University Anam Hospital,OTHER
"Donepezil, 10 mg tablet",NCT01297036,Alzheimer Disease,Korea University Anam Hospital,OTHER
donepezil hydrochloride,NCT01903824,Cognitive Impairment,"Teva Branded Pharmaceutical Products R&D, Inc.",INDUSTRY
Donepezil,NCT01439230,Healthy,Teva Pharmaceuticals USA,INDUSTRY
Donepezil Hydrochloride,NCT01260922,Healthy,Teva Pharmaceuticals USA,INDUSTRY
Donepezil Hydrochloride,NCT01260948,Healthy,Teva Pharmaceuticals USA,INDUSTRY
Donepezil,NCT01439243,Healthy,Teva Pharmaceuticals USA,INDUSTRY
donepezil,NCT02305836,Cognitive Impairment,Guang'anmen Hospital of China Academy of Chinese Medical Sciences,OTHER
Donepezil .,NCT01487395,Alzheimer Disease,"University Hospital, Lille",OTHER
Donepezil .,NCT01487395,Battery,"University Hospital, Lille",OTHER
