sponsor,sponsor_class,trials
Assistance Publique Hopitaux De Marseille,OTHER,13
University of Dundee,OTHER,13
Shanghai 6th People's Hospital,OTHER,13
Forschungsinstitut der Diabetes Akademie Mergentheim,OTHER,13
University of Nebraska,OTHER,13
Gilead Sciences,INDUSTRY,13
Children's Hospital of Philadelphia,OTHER,13
Wayne State University,OTHER,13
Boston University,OTHER,13
Institut für Diabetes-Technologie Forschungs- und Entwicklungsgesellschaft mbH an der Universität Ulm,OTHER,13
Institut fur Diabetes Karlsburg GmbH,OTHER,13
China Medical University Hospital,OTHER,12
Ege University,OTHER,12
Tel-Aviv Sourasky Medical Center,OTHER_GOV,12
IRCCS San Raffaele,OTHER,12
Rambam Health Care Campus,OTHER,12
Castilla-La Mancha Health Service,OTHER,12
University Medical Center Groningen,OTHER,12
"Oramed, Ltd.",INDUSTRY,12
Virginia Commonwealth University,OTHER,12
"University Hospital, Bordeaux",OTHER,12
"PegBio Co., Ltd.",OTHER,12
German Institute of Human Nutrition,OTHER,12
Region Skane,OTHER,12
"Taipei Veterans General Hospital, Taiwan",OTHER_GOV,12
Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran,OTHER,12
Tel Aviv University,OTHER,12
Mario Negri Institute for Pharmacological Research,OTHER,12
University of Exeter,OTHER,12
Augusta University,OTHER,12
University of Pavia,OTHER,12
Istanbul University,OTHER,12
LG Chem,INDUSTRY,12
University of Hawaii,OTHER,12
Fundación Pública Andaluza para la Investigación de Málaga en Biomedicina y Salud,OTHER,12
Abant Izzet Baysal University,OTHER,12
University Hospitals Cleveland Medical Center,OTHER,12
Maastricht University,OTHER,12
University of Roma La Sapienza,OTHER,12
Sunnybrook Health Sciences Centre,OTHER,12
Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),NIH,12
Leiden University Medical Center,OTHER,12
Shanghai Changzheng Hospital,OTHER,12
"Coordinación de Investigación en Salud, Mexico",OTHER_GOV,11
University of Pisa,OTHER,11
"Glostrup University Hospital, Copenhagen",OTHER,11
Morphic Medical Inc.,INDUSTRY,11
Centre Hospitalier Universitaire de la Réunion,OTHER,11
"Charles University, Czech Republic",OTHER,11
Children's Hospital Los Angeles,OTHER,11
Endocrine Research Society,OTHER,11
"University Hospital, Caen",OTHER,11
Loma Linda University,OTHER,11
"University Hospital, Clermont-Ferrand",OTHER,11
Ottawa Hospital Research Institute,OTHER,11
Intarcia Therapeutics,INDUSTRY,11
University of Aberdeen,OTHER,11
Northwell Health,OTHER,11
Rush University Medical Center,OTHER,11
"Charite University, Berlin, Germany",OTHER,11
Cook County Health,OTHER_GOV,11
Turku University Hospital,OTHER_GOV,11
University of Oklahoma,OTHER,11
Hua Medicine Limited,INDUSTRY,11
"Medical Research Foundation, The Netherlands",OTHER,11
Halozyme Therapeutics,INDUSTRY,11
Kinderkrankenhaus auf der Bult,OTHER,11
Milton S. Hershey Medical Center,OTHER,10
Manchester University NHS Foundation Trust,OTHER_GOV,10
Rodolfo Alejandro,OTHER,10
University of Lausanne Hospitals,OTHER,10
"Sultan Abdulhamid Han Training and Research Hospital, Istanbul, Turkey",OTHER,10
University of Adelaide,OTHER,10
Institute for Clinical and Experimental Medicine,OTHER_GOV,10
"Jiangsu Hansoh Pharmaceutical Co., Ltd.",INDUSTRY,10
Laboratorios Silanes S.A. de C.V.,INDUSTRY,10
Biogen,INDUSTRY,10
Ohio University,OTHER,10
India Diabetes Research Foundation & Dr. A. Ramachandran's Diabetes Hospitals,OTHER,10
University of Helsinki,OTHER,10
Charles Drew University of Medicine and Science,OTHER,10
"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",INDUSTRY,10
University of Leeds,OTHER,10
The Royal Bournemouth Hospital,OTHER,10
John Sievenpiper,OTHER,10
University of Malaya,OTHER,10
National University of Malaysia,OTHER,10
"Second Affiliated Hospital, School of Medicine, Zhejiang University",OTHER,10
University of Jordan,OTHER,10
Federal University of Rio Grande do Sul,OTHER,10
National Institute on Aging (NIA),NIH,10
Hasselt University,OTHER,10
RWTH Aachen University,OTHER,10
"Central Hospital, Nancy, France",OTHER,10
"University Hospital, Strasbourg, France",OTHER,10
Guang'anmen Hospital of China Academy of Chinese Medical Sciences,OTHER,10
MedImmune LLC,INDUSTRY,10
Hamad Medical Corporation,INDUSTRY,10
Aga Khan University,OTHER,10
Medstar Health Research Institute,OTHER,10
"Medanta, The Medicity, India",OTHER,9
Harvard School of Public Health (HSPH),OTHER,9
University of Oulu,OTHER,9
"Kyowa Kirin Co., Ltd.",INDUSTRY,9
LG Life Sciences,INDUSTRY,9
RenJi Hospital,OTHER,9
University of Portsmouth,OTHER,9
Colorado State University,OTHER,9
Centre Hospitalier Universitaire de Nīmes,OTHER,9
Zhejiang University,OTHER,9
Ataturk University,OTHER,9
Griffin Hospital,OTHER,9
Ottawa Heart Institute Research Corporation,OTHER,9
Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau,OTHER,9
Tufts University,OTHER,9
Beijing Chao Yang Hospital,OTHER,9
Solvay Pharmaceuticals,INDUSTRY,9
Skane University Hospital,OTHER,9
Umeå University,OTHER,9
"Jeil Pharmaceutical Co., Ltd.",INDUSTRY,9
Taichung Veterans General Hospital,OTHER,9
Hamilton Health Sciences Corporation,OTHER,9
Cambridge University Hospitals NHS Foundation Trust,OTHER,9
Peking University First Hospital,OTHER,9
Loyola University,OTHER,9
National Cheng-Kung University Hospital,OTHER,9
Kangbuk Samsung Hospital,OTHER,9
University of Rochester,OTHER,9
Baskent University,OTHER,9
Tanta University,OTHER,9
National Center for Complementary and Integrative Health (NCCIH),NIH,9
"Children's Hospital Medical Center, Cincinnati",OTHER,9
"Senseonics, Inc.",INDUSTRY,9
Tulane University,OTHER,9
University of Erlangen-Nürnberg Medical School,OTHER,9
Woman's,OTHER,9
Legacy Health System,OTHER,9
Hospital Clinic of Barcelona,OTHER,9
Xijing Hospital,OTHER,9
EMS,INDUSTRY,9
King Saud University,OTHER,9
Nordsjaellands Hospital,OTHER,9
Georgetown University,OTHER,9
Women's Hospital School Of Medicine Zhejiang University,OTHER,9
Dartmouth-Hitchcock Medical Center,OTHER,9
"University Hospital, Antwerp",OTHER,9
Florida Atlantic University,OTHER,9
Wockhardt,INDUSTRY,9
National Human Genome Research Institute (NHGRI),NIH,9
Children's Hospital of Eastern Ontario,OTHER,8
AZ-VUB,OTHER,8
"HaEmek Medical Center, Israel",OTHER,8
Meir Medical Center,OTHER,8
"University of Turin, Italy",OTHER,8
Marmara University,OTHER,8
Ruijin Hospital,OTHER,8
