start_date,phase,status,trials
2024-06-01,,RECRUITING,249
2019-11-01,,SUSPENDED,4
2022-08-08,,COMPLETED,33
2023-08-23,,RECRUITING,27
2022-07-01,,UNKNOWN,181
2023-06-14,PHASE3,ACTIVE_NOT_RECRUITING,3
2022-12-09,,RECRUITING,11
2021-01-28,PHASE4,UNKNOWN,2
2024-10-18,,RECRUITING,28
2022-08-19,,UNKNOWN,8
2019-01-11,,COMPLETED,27
2022-06-28,PHASE2,COMPLETED,4
2023-08-28,PHASE2,RECRUITING,6
2023-06-01,,UNKNOWN,139
2015-11-18,PHASE4,COMPLETED,1
2018-10-01,,UNKNOWN,140
2020-08-01,,COMPLETED,221
2022-10-25,,COMPLETED,21
2025-05-05,PHASE2,RECRUITING,14
2015-12-01,,COMPLETED,73
2016-08-22,,ACTIVE_NOT_RECRUITING,2
2024-06-30,PHASE2;PHASE3,TERMINATED,2
2022-01-31,,COMPLETED,41
2021-10-15,,COMPLETED,78
2021-06-02,,COMPLETED,32
2017-05-03,,UNKNOWN,10
2015-08-07,PHASE2,COMPLETED,4
2024-09-15,,ACTIVE_NOT_RECRUITING,12
2023-06-05,,ACTIVE_NOT_RECRUITING,5
2023-11-01,PHASE4,NOT_YET_RECRUITING,8
2010-07-31,,COMPLETED,2
2018-12-01,,UNKNOWN,123
2021-11-11,PHASE2,COMPLETED,4
2020-07-06,,COMPLETED,42
2018-09-07,PHASE1,UNKNOWN,3
2025-02-10,,RECRUITING,65
2020-10-09,,RECRUITING,10
2013-01-08,,COMPLETED,9
2020-09-25,,COMPLETED,36
2022-01-30,,COMPLETED,11
2015-12-06,PHASE1,COMPLETED,1
2023-02-06,,COMPLETED,34
2023-06-26,PHASE4,RECRUITING,2
2016-08-29,,RECRUITING,1
2021-08-01,,ACTIVE_NOT_RECRUITING,20
2024-02-23,,RECRUITING,27
2020-05-27,,COMPLETED,23
2020-05-22,,COMPLETED,21
2021-01-22,PHASE2,WITHDRAWN,1
2022-02-01,PHASE1;PHASE2,COMPLETED,4
2017-02-08,,COMPLETED,23
2024-04-17,PHASE2,RECRUITING,11
2023-06-01,,COMPLETED,247
2017-11-23,,COMPLETED,19
2025-07-30,PHASE1,ENROLLING_BY_INVITATION,1
2016-07-15,PHASE3,COMPLETED,3
2025-03-13,,COMPLETED,6
2019-04-01,,UNKNOWN,154
2024-08-16,,RECRUITING,23
2017-10-02,,COMPLETED,65
2023-11-06,,RECRUITING,39
2015-12-25,PHASE2,UNKNOWN,1
2025-09-15,,NOT_YET_RECRUITING,192
2019-03-03,,UNKNOWN,4
2021-04-29,,COMPLETED,28
2003-09-10,PHASE1,COMPLETED,1
2018-01-10,,ACTIVE_NOT_RECRUITING,2
2023-02-22,,COMPLETED,22
2020-08-06,PHASE1,UNKNOWN,2
2020-10-01,,UNKNOWN,231
2021-04-15,PHASE4,RECRUITING,1
2018-03-01,,COMPLETED,326
2019-12-10,PHASE4,UNKNOWN,3
2024-06-19,,RECRUITING,26
2025-04-17,,RECRUITING,30
2024-05-09,,ENROLLING_BY_INVITATION,5
2017-01-05,,COMPLETED,33
2024-01-01,,RECRUITING,412
2023-01-01,,COMPLETED,354
2019-10-23,,UNKNOWN,10
2025-03-25,PHASE3,RECRUITING,5
2019-02-15,,COMPLETED,51
2023-01-01,,NOT_YET_RECRUITING,27
2022-03-23,,COMPLETED,37
2018-10-29,PHASE2,UNKNOWN,1
2022-06-01,,RECRUITING,129
2023-12-28,PHASE2,RECRUITING,6
2022-03-01,,RECRUITING,110
2016-06-29,PHASE3,COMPLETED,2
2024-11-20,,NOT_YET_RECRUITING,24
2018-10-01,,COMPLETED,357
2020-10-23,,COMPLETED,21
2025-04-22,PHASE2,RECRUITING,6
2025-05-01,,NOT_YET_RECRUITING,271
2013-09-16,,COMPLETED,8
2022-10-03,,COMPLETED,42
2024-07-15,,ACTIVE_NOT_RECRUITING,8
2024-02-20,,ACTIVE_NOT_RECRUITING,13
2018-05-07,,COMPLETED,43
2021-08-13,,RECRUITING,3
2018-03-21,,COMPLETED,29
2016-11-04,,COMPLETED,11
2023-01-15,,COMPLETED,57
2014-06-30,,COMPLETED,9
2021-03-01,PHASE3,COMPLETED,10
2017-02-10,PHASE1;PHASE2,TERMINATED,1
2024-06-13,,RECRUITING,31
2022-09-01,,ACTIVE_NOT_RECRUITING,65
2017-10-03,PHASE1,COMPLETED,4
2018-03-09,PHASE2,COMPLETED,7
2022-05-30,,COMPLETED,44
2023-05-23,,COMPLETED,38
2018-01-01,,UNKNOWN,295
2019-07-15,PHASE3,COMPLETED,4
2016-07-14,,COMPLETED,11
2018-04-01,,UNKNOWN,120
2013-03-29,PHASE2,COMPLETED,2
2003-11-05,PHASE2,COMPLETED,1
2021-02-05,,COMPLETED,34
2020-05-02,PHASE4,COMPLETED,1
2024-01-01,PHASE2;PHASE3,NOT_YET_RECRUITING,7
2022-04-26,,ACTIVE_NOT_RECRUITING,4
2022-08-10,,UNKNOWN,13
2022-03-29,,RECRUITING,10
2017-04-05,,COMPLETED,38
2021-06-30,,COMPLETED,51
2022-08-31,,COMPLETED,21
2022-02-08,EARLY_PHASE1,COMPLETED,2
2022-07-25,,COMPLETED,26
2025-02-11,PHASE2,RECRUITING,7
2025-01-27,PHASE2,RECRUITING,6
2022-06-30,,UNKNOWN,28
2018-12-15,,UNKNOWN,19
2020-09-06,PHASE2,COMPLETED,1
2023-03-01,,ACTIVE_NOT_RECRUITING,47
2025-04-09,EARLY_PHASE1,RECRUITING,3
2024-02-14,PHASE4,RECRUITING,2
2017-07-18,,RECRUITING,1
2018-02-01,,UNKNOWN,99
2024-06-29,,SUSPENDED,2
2023-11-08,,RECRUITING,35
2019-02-04,,UNKNOWN,8
2021-05-15,,UNKNOWN,37
2020-02-05,,COMPLETED,29
2020-04-01,,COMPLETED,203
2025-05-30,,RECRUITING,29
2024-11-02,,NOT_YET_RECRUITING,4
2020-10-01,,RECRUITING,63
2020-12-23,PHASE3,COMPLETED,5
2024-05-15,PHASE1,COMPLETED,4
2024-04-15,,ACTIVE_NOT_RECRUITING,17
2024-05-15,,ACTIVE_NOT_RECRUITING,10
2025-01-23,,RECRUITING,20
2015-08-15,,COMPLETED,7
2008-01-01,,COMPLETED,64
2017-11-01,PHASE2,WITHDRAWN,1
2022-06-17,,UNKNOWN,8
2023-02-01,PHASE1,RECRUITING,6
2021-03-01,,UNKNOWN,210
2017-01-01,,UNKNOWN,142
2018-03-19,,COMPLETED,34
2021-08-01,,COMPLETED,209
2021-04-16,PHASE1;PHASE2,COMPLETED,1
2008-08-01,,COMPLETED,7
2025-10-10,PHASE2,NOT_YET_RECRUITING,2
2022-10-31,,COMPLETED,34
2018-08-01,PHASE4,COMPLETED,14
2015-12-10,,COMPLETED,12
2013-03-20,,COMPLETED,6
2021-02-02,,TERMINATED,6
2023-05-29,PHASE2,RECRUITING,2
2024-06-09,,COMPLETED,3
2023-02-15,PHASE2,RECRUITING,9
2020-12-03,,WITHDRAWN,2
2025-02-10,PHASE2,RECRUITING,10
2023-06-14,,COMPLETED,20
2022-07-29,,UNKNOWN,5
2019-10-28,PHASE2,COMPLETED,4
2018-05-29,PHASE3,COMPLETED,5
2020-10-01,,COMPLETED,333
2017-06-27,,COMPLETED,24
2022-04-19,PHASE1,COMPLETED,3
2024-10-21,,RECRUITING,49
2021-07-19,PHASE1;PHASE2,TERMINATED,1
2023-10-01,PHASE4,RECRUITING,8
2024-12-25,,RECRUITING,10
2013-03-01,,COMPLETED,39
2021-10-10,,COMPLETED,31
2017-03-20,PHASE3,COMPLETED,5
2015-04-27,PHASE4,COMPLETED,2
2013-09-09,,RECRUITING,2
2020-06-15,,UNKNOWN,49
2025-03-18,,NOT_YET_RECRUITING,3
2017-10-01,,UNKNOWN,109
2016-10-01,,COMPLETED,141
2018-04-30,,COMPLETED,32
2020-06-10,PHASE2,COMPLETED,3
